code,name,description,category,url,status
A01,Évaluation de l’impact avant et après le projet,,A,,active
A02,Objectifs/finalités de l’activité,,A,,active
A03,Bénéficiaires finaux visés,,A,,active
A04,Conditions,,A,,active
A05,Budget,,A,,active
A06,Résumé du contrat,,A,,active
A07,Examen de la performance du projet et évaluation,,A,,active
A08,"Résultats, réalisations et produits",,A,,active
A09,Protocole d’accord (si celui-ci a été approuvé par toutes les parties),,A,,active
A10,Appel d’offres,,A,,active
A11,Contrat,,A,,active
A12,Page Web sur les activités,,A,,active
B01,Rapport annuel,,B,,active
B02,Document de stratégie institutionnelle,,B,,active
B03,Document de stratégie nationale,,B,,active
B04,Politique d’affectation de l’aide,,B,,active
B05,Politique et procédure d’approvisionnement,,B,,active
B06,Rapport d’audit institutionnel,,B,,active
B07,Rapport d’audit de pays,,B,,active
B08,Politique relative aux exclusions,,B,,active
B09,Rapport d’évaluation institutionnelle,,B,,active
B10,Rapport d’évaluation nationale,,B,,active
B11,Stratégie sectorielle,,B,,active
B12,Stratégie thématique,,B,,active
B13,Protocole d’accord national,,B,,active
B14,Politique relative aux évaluations,,B,,active
B15,Conditions générales,,B,,active
B16,Page Web sur l’organisation,,B,,active
B17,Page Web sur les pays/régions,,B,,active
B18,Page Web sur les secteurs,,B,,active
