code,name,description,category,url,status,public-database
AE-ACCI,,,AE,https://www.ajmanchamber.ae/en/Pages/default.aspx,active,
AE-ADCD,,,AE,http://www.abudhabichamber.ae/English/E-Services/Pages/EServices-Page.aspx?sm=1&ty=s,active,
AE-AFZ,,,AE,http://www.afz.gov.ae/,active,
AE-DCCI,,,AE,http://www.dcciinfo.com/,active,
AE-DFSA,,,AE,https://www.dfsa.ae/Public-Register/Firm,active,
AE-DIFC,,,AE,https://www.difc.ae/public-register,active,
AE-DMCC,,,AE,https://www.dmcc.ae/,active,
AE-FCCI,,,AE,http://www.fujcci.ae/,active,
AE-FFZ,,,AE,http://www.fujairahfreetradezone.com/appdir/company-listing.php,active,
AE-HFZA,,,AE,http://www.hfza.ae/en-us/directory.aspx,active,
AE-RAKIA,,,AE,https://www.rakez.com,active,
AE-RK_CR,,,AE,http://www.rakchamber.ae/,active,
AE-SAIF,,,AE,http://www.saif-zone.com/en/InvestorLounge/Pages/Investors.aspx,active,
AE-SCCI,,,AE,http://www.sharjah.gov.ae/BusinessDirectory,active,
AE-UQCCI,,,AE,http://www.uaqchamber.ae/,active,
AF-CBR,,,AF,http://acbr.gov.af/,active,
AF-MOE,,,AF,http://moec.gov.af/en,active,
AR-CENOC,,,AR,http://www.cenoc.gob.ar/,active,
AR-CUIT,,,AR,,active,
AT-FB,,,AT,https://www.justiz.gv.at/web2013/html/default/2c9484852308c2a601240b693e1c0860.de.html,active,
AT-UID,,,AT,https://www.justiz.gv.at/web2013/html/default/2c9484852308c2a601240b693e1c0860.de.html,active,
AU-ABN,,,AU,http://abr.business.gov.au/,active,
AU-ACNC,,,AU,http://www.acnc.gov.au/ACNC/,active,
AZ-IVI,,,AZ,https://www.e-taxes.gov.az/ebyn/commersialChecker.jsp,active,
BD-NAB,,,BD,http://www.ngoab.gov.bd,active,
BE-BCE_KBO,,,BE,http://economie.fgov.be/fr/entreprises/BCE,active,
BE-GTCF,,,BE,http://www.juridat.be/tribunal_commerce/bruxelles/index.htm,withdrawn,
BG-EIK,,,BG,https://public.brra.bg/CheckUps/Verifications/VerificationPersonOrg.ra,active,
BJ-IFU,,,BJ,http://www.impots.finances.gouv.bj/tout-savoir-sur-lifu/,active,
BW-CIPA,,,BW,http://www.cipa.co.bw/,active,
BY-ADR,,,BY,http://egr.gov.by/egrn/index.jsp?language=en,active,
CA-CC,,,CA,http://www.ic.gc.ca/eic/site/cd-dgc.nsf/eng/home,active,
CA-CRA_ACR,,,CA,http://www.cra-arc.gc.ca/,active,
CA-GOV,,,CA,http://open.canada.ca/data/en/dataset/22090865-f8a6-4b83-9bad-e9d61f26a821,active,
CA_AB-ABT,,,CA,http://www.servicealberta.ca/Corporate_Registry.cfm,active,
CA_BC-BRC_CBR,,,CA,http://www.bcregistryservices.gov.bc.ca/bcreg/corppg/index.page,active,
CA_MB-MTB,,,CA,https://direct.gov.mb.ca/mbohtml/html/internet/en/mb_online.html,active,
CA_NB-NWB_NOB,,,CA,https://www.pxw1.snb.ca/snb7001/e/2000/2500e.asp,active,
CA_NL-NFL_TNL,,,CA,http://www.servicenl.gov.nl.ca/registries/companies.html,active,
CA_NS-NVS_NVE,,,CA,http://novascotia.ca/sns/access/business/registry-joint-stock-companies.asp,active,
CA_NT-NWT_TNO,,,CA,https://www.justice.gov.nt.ca/en/divisions/legal-registries-division/corporate-registries/,active,
CA_NU-NNV,,,CA,http://nunavutlegalregistries.ca/cr_index_en.shtml,active,
CA_ON-ONT,,,CA,https://www.ontario.ca/page/business-and-economy,active,
CA_PE-PEI_IPE,,,CA,http://www.gov.pe.ca/corporations/index.php,active,
CA_QC-QBC,,,CA,http://www.registreentreprises.gouv.qc.ca/,active,
CA_SK-SKN,,,CA,http://www.isc.ca/CorporateRegistry/,active,
CA_YT-YKT,,,CA,http://www.community.gov.yk.ca/corp/index.html,active,
CH-FDJP,,,CH,https://www.zefix.ch/de/search/entity/welcome,active,
CN-SAIC,,,CN,http://gsxt.saic.gov.cn/,active,
CO-CCB,,,CO,http://www.ccb.org.co/,active,
CO-RUE,,,CO,http://www.rues.org.co/RUES_Web/,active,
CY-DRCOR,,,CY,https://efiling.drcor.mcit.gov.cy/DrcorPublic/Default.aspx?cultureInfo=en-AU,active,
CZ-DIC,,,CZ,http://www.kurzy.cz/dic/,active,
CZ-ICO,,,CZ,http://wwwinfo.mfcr.cz/ares/ares_es.html.en,active,
DE-CR,,,DE,https://www.handelsregister.de/rp_web/welcome.do,active,
DK-CVR,,,DK,https://datacvr.virk.dk/data/,active,
